product_id;ean;sku;name;ilosc_zakonczen;ilosc_aktywowan;srednio_zakonczony;srednio_aktywny;suma_rotacji;suma_przychodow;suma_kosztow;stracone_rotacje;stracony_przychod;stracony_koszt
SUMA;DLA;WSZYSTKICH;KOLUMN;21;20;321.1;3977.86;889.0;2799.19;35.92;52.07;169.56;0.5
188254074;5901969414370.0;LCU6-30CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M U/UTP KAT.6 ŻEL;1;1;0.01;54.72;145.0;376.04;0.0;5.55;9.84;0.0
188254076;5901969421859.0;LCU6-21CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M U/UTP KAT.6 SUCHA;3;2;40.74;505.08;31.0;120.96;0.0;5.12;19.84;0.0
188254078;5901969414332.0;LCU5-30CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M U/UTP KAT.5E ŻEL;2;2;13.09;317.82;78.0;279.74;0.0;2.0;7.29;0.0
188254080;5901969421835.0;LCU5-21CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M U/UTP KAT.5E SUCHA;2;2;94.99;483.65;1.0;3.69;0.0;0.11;0.41;0.0
188254081;5901969421866.0;LCF6-21CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M F/UTP KAT.6 SUCHA;6;5;21.51;218.72;92.0;424.84;0.0;10.98;51.17;0.0
188254083;5901969414394.0;LCF6-30CU-0305-BK;SKRĘTKA KABEL LAN DRUT OUTDOOR FLUKE PASSED LANBERG 1M F/UTP KAT.6 ŻEL;3;3;35.36;397.05;13.0;63.36;0.0;1.83;8.76;0.0
188254089;5901969409871.0;CA-C14E-10CC-0018-BK;ADAPTER IEC 320 C14->SCHUKO 20CM DO UPS CZARNY LANBERG;1;2;1.79;400.52;4.0;44.16;35.92;0.06;0.7;0.5
188254096;5901969427646.0;LCS5-11CU-0305-Sadg;SKRĘTKA KABEL LAN DRUT CU SZARY CPR + FLUKE PASSED LANBERG 1M S/FTP KAT.7;1;1;46.29;1018.61;200.0;670.0;0.0;6.25;20.94;0.0
188254097;5901969427653.0;LCUF6L-11CU-0305-S;SKRĘTKA KABEL LAN DRUT CU SZARY CPR + FLUKE PASSED LANBERG 1M U/FTP KAT.6A;2;2;67.32;581.69;325.0;816.4;0.0;20.17;50.61;0.0
